time,curr_run,curr_duration,curr_ping,curr_upload,curr_download,total_duration,total_sent,total_received,avg_duration,avg_ping,avg_upload_speed,avg_download_speed
2021-08-01 15:54:55,1,16.924195528030396,10.902,189.77,191.72,16.924195528030396,151519232,239931964,16.924195528030396,10.902,189766303.02852687,191721100.3013452
2021-08-01 15:55:12,2,17.426955699920654,14.821,196.73,151.28,34.35115122795105,303038464,443916463,17.175575613975525,12.8615,193250611.1833275,171498406.35939348
2021-08-01 15:55:29,3,16.866116046905518,13.341,189.88,189.89,51.21726727485657,454557696,681466114,17.07242242495219,13.021333333333333,192128107.28601107,177628487.3024219
2021-08-01 15:55:46,4,16.791371822357178,10.705,192.73,173.79,68.00863909721375,606076928,898983502,17.002159774303436,12.44225,192278661.31749567,176668233.11169422
2021-08-01 15:56:02,5,16.66767930984497,14.992,196.09,194.16,84.67631840705872,757596160,1141857953,16.935263681411744,12.9522,193040352.68371403,180165673.9448263
2021-08-01 16:34:25,1,17.66913676261902,5.432,168.97,186.22,17.66913676261902,151519232,235958844,17.66913676261902,5.432,168971356.14600387,186219264.1955151
2021-08-01 16:34:42,2,17.437584161758423,13.219,174.6,185.29,35.10672092437744,303038464,467874456,17.55336046218872,9.3255,171783655.431069,185755216.2154585
2021-08-01 16:34:59,3,16.671124696731567,13.323,195.86,186.97,51.77784562110901,454557696,702077195,17.259281873703003,10.658,179810745.9021133,186159538.74293017
2021-08-01 17:02:23,1,16.59272789955139,10.157,199.86,188.68,16.59272789955139,151519232,236378684,16.59272789955139,10.157,199857300.8737025,188681990.1327343
2021-08-01 17:02:40,2,16.882801294326782,12.798,189.95,177.27,33.475529193878174,303038464,458794399,16.737764596939087,11.4775,194902353.58197474,182978282.50110415
2021-08-01 17:04:27,1,16.82491397857666,13.718,196.59,190.77,16.82491397857666,151519232,241622348,16.82491397857666,13.718,196586156.14899883,190767210.189106
2021-08-01 17:06:18,1,18.234246492385864,11.52,171.64,66.03,18.234246492385864,151519232,87342068,18.234246492385864,11.52,171639515.42969412,66026324.87903863
2021-08-01 17:06:36,2,18.26338005065918,12.477,190.13,161.86,36.497626543045044,303038464,318031703,18.248813271522522,11.9985,180886314.83774903,113945618.8494079
2021-08-01 20:31:13,1,16.724801063537598,10.496,195.71,197.27,16.724801063537598,151519232,246949971,16.724801063537598,10.496,195709187.35746083,197265024.16322088
2021-08-01 20:31:30,2,16.817121267318726,14.447,191.33,195.39,33.54192233085632,303038464,491510415,16.77096116542816,12.471499999999999,193521359.99352226,196327933.95426184
2021-08-25 15:59:07,1,16.754419326782227,14.555,195.15,194.8,16.754419326782227,151519232,243643235,16.754419326782227,14.555,195145021.11476415,194801065.73093465
2021-08-27 08:14:05,1,16.590045928955078,7.89,199.2,184.72,16.590045928955078,151519232,231207484,16.590045928955078,7.89,199197129.74307132,184718119.4969906
2021-08-27 08:14:21,2,16.713104248046875,11.882,193.96,166.39,33.30315017700195,303038464,439369119,16.651575088500977,9.886,196577067.56245947,175551713.0028832
2021-08-27 08:14:38,3,16.861616134643555,14.911,192.81,177.14,50.16476631164551,454557696,663023874,16.721588770548504,11.561,195320054.3598919,176080951.06178418
2021-08-27 08:14:55,4,16.79314422607422,15.035,195.51,162.1,66.95791053771973,606076928,868018526,16.73947763442993,12.4295,195366707.84948456,172586861.59764034
2021-08-27 08:15:11,5,16.585628986358643,12.408,198.17,195.43,83.54353952407837,757596160,1112589994,16.708707904815675,12.4252,195926805.33227256,177154679.73332143